2026-09-25T12:29:03.073753343Z [2026-09-25 12:29:03] server_args=ServerArgs(model_path='/hf/hub/models--RadixArk--Qwen3.8-Flash-Next-NVFP4/snapshots/7b719225242aacd3dbd3f9407468c2ee9a9d2594', tokenizer_path='/hf/hub/models--RadixArk--Qwen3.8-Flash-Next-NVFP4/snapshots/7b719225242aacd3dbd3f9407468c2ee9a9d2594', tokenizer_mode='auto', tokenizer_backend='huggingface', tokenizer_worker_num=1, detokeni
2026-09-25T12:29:04.770938759Z [2026-09-25 12:29:04] Ignore import error when loading sglang.srt.multimodal.processors.mimo_v2: No module named 'torchcodec'
2026-09-25T12:29:04.967117447Z [2026-09-25 12:29:04] Ignore import error when loading sglang.srt.multimodal.processors.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:05.829204094Z [2026-09-25 12:29:05] Ignore import error when loading sglang.srt.models.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:08.744374481Z [2026-09-25 12:29:08] Ignore import error when loading sglang.srt.multimodal.processors.mimo_v2: No module named 'torchcodec'
2026-09-25T12:29:08.807645762Z [2026-09-25 12:29:08] Ignore import error when loading sglang.srt.multimodal.processors.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:09.133430729Z [2026-09-25 12:29:09] Ignore import error when loading sglang.srt.models.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:37:23.403651432Z [2026-09-25 12:37:23] Load weight end. elapsed=493.29 s, type=Qwen4ExpForConditionalGeneration, quant=modelopt_fp4, quant_algo=NVFP4, avail mem=33.41 GB, mem usage=80.67 GB.
2026-09-25T12:38:53.900992488Z [2026-09-25 12:38:53] Load weight end. elapsed=87.34 s, type=Qwen4ExpForCausalLMMTP, quant=modelopt_fp4, quant_algo=NVFP4, avail mem=28.79 GB, mem usage=4.40 GB.
2026-09-25T12:38:56.747988822Z [2026-09-25 12:38:56] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 126976, K size: 1.45 GB, V size: 1.45 GB
2026-09-25T12:38:56.750574719Z [2026-09-25 12:38:56] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 126976, K size: 0.12 GB, V size: 0.12 GB
2026-09-25T12:39:39.949538791Z [2026-09-25 12:39:39] max_total_num_tokens=126976, chunked_prefill_size=4096, max_prefill_tokens=16384, max_running_requests=8, context_len=262144, available_gpu_mem=19.98 GB
2026-09-25T12:39:47.626735937Z [2026-09-25 12:39:47] INFO:     Application startup complete.
2026-09-25T12:40:25.813362071Z [2026-09-25 12:40:25] The server is fired up and ready to roll!
2026-09-25T12:41:13.328913065Z [2026-09-25 12:41:13] Decode batch, #running-req: 1, #full token: 20096, full token usage: 0.16, mamba num: 4, mamba usage: 0.10, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1.24, #queue-req: 0
2026-09-25T12:46:05.777028683Z [2026-09-25 12:46:05] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.48, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 34.58, #queue-req: 0
2026-09-25T12:46:09.777681253Z [2026-09-25 12:46:09] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.58, accept rate: 0.86, cuda graph: True, gen throughput (token/s): 35.74, #queue-req: 0
2026-09-25T12:46:13.757055368Z [2026-09-25 12:46:13] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.23, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 32.42, #queue-req: 0
2026-09-25T12:46:17.712627758Z [2026-09-25 12:46:17] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.55, accept rate: 0.85, cuda graph: True, gen throughput (token/s): 35.90, #queue-req: 0
2026-09-25T12:46:41.282942296Z [2026-09-25 12:46:41] Decode batch, #running-req: 1, #full token: 30336, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 3.30, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 5.60, #queue-req: 0
2026-09-25T12:47:31.993271035Z [2026-09-25 12:47:31] Decode batch, #running-req: 1, #full token: 81088, full token usage: 0.64, mamba num: 4, mamba usage: 0.10, accept len: 3.25, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 2.56, #queue-req: 0
2026-09-25T12:47:35.964718711Z [2026-09-25 12:47:35] Decode batch, #running-req: 1, #full token: 81152, full token usage: 0.64, mamba num: 4, mamba usage: 0.10, accept len: 2.83, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 28.45, #queue-req: 0
2026-09-25T12:47:40.627885072Z [2026-09-25 12:47:40] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 3.08, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 26.38, #queue-req: 0
2026-09-25T12:47:44.961811795Z [2026-09-25 12:47:44] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 23.08, #queue-req: 0
2026-09-25T12:47:49.663735901Z [2026-09-25 12:47:49] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.33, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 19.78, #queue-req: 0
2026-09-25T12:47:53.592298236Z [2026-09-25 12:47:53] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 27.50, #queue-req: 0
2026-09-25T12:47:57.664563923Z [2026-09-25 12:47:57] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 24.55, #queue-req: 0
2026-09-25T12:48:01.734561502Z [2026-09-25 12:48:01] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.30, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 22.60, #queue-req: 0
2026-09-25T12:48:05.731633507Z [2026-09-25 12:48:05] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.20, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 22.02, #queue-req: 0
2026-09-25T12:48:09.683415860Z [2026-09-25 12:48:09] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.27, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 23.02, #queue-req: 0
2026-09-25T12:48:15.342216564Z [2026-09-25 12:48:15] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.45, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 24.39, #queue-req: 0
2026-09-25T12:48:19.413199924Z [2026-09-25 12:48:19] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.55, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 25.06, #queue-req: 0
2026-09-25T12:48:25.910937241Z [2026-09-25 12:48:25] Decode batch, #running-req: 1, #full token: 4096, full token usage: 0.03, mamba num: 4, mamba usage: 0.10, accept len: 2.67, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 16.47, #queue-req: 0
2026-09-25T12:48:30.113207778Z [2026-09-25 12:48:30] Decode batch, #running-req: 1, #full token: 4224, full token usage: 0.03, mamba num: 4, mamba usage: 0.10, accept len: 2.65, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 25.22, #queue-req: 0
2026-09-25T12:48:44.161318140Z [2026-09-25 12:48:44] Decode batch, #running-req: 1, #full token: 15680, full token usage: 0.12, mamba num: 4, mamba usage: 0.10, accept len: 2.80, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 7.97, #queue-req: 0
2026-09-25T12:48:48.282128695Z [2026-09-25 12:48:48] Decode batch, #running-req: 1, #full token: 15808, full token usage: 0.12, mamba num: 4, mamba usage: 0.10, accept len: 2.73, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 26.45, #queue-req: 0
2026-09-25T12:48:52.434370516Z [2026-09-25 12:48:52] Decode batch, #running-req: 1, #full token: 15872, full token usage: 0.12, mamba num: 4, mamba usage: 0.10, accept len: 2.20, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 21.19, #queue-req: 0
2026-09-25T12:49:00.117742004Z [2026-09-25 12:49:00] Decode batch, #running-req: 1, #full token: 4544, full token usage: 0.04, mamba num: 4, mamba usage: 0.10, accept len: 2.60, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 13.54, #queue-req: 0
2026-09-25T12:49:06.037638739Z [2026-09-25 12:49:06] Decode batch, #running-req: 1, #full token: 4480, full token usage: 0.04, mamba num: 4, mamba usage: 0.10, accept len: 2.25, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 15.20, #queue-req: 0
2026-09-25T12:49:12.253518303Z [2026-09-25 12:49:12] Decode batch, #running-req: 1, #full token: 3008, full token usage: 0.02, mamba num: 4, mamba usage: 0.10, accept len: 2.80, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 18.02, #queue-req: 0
2026-09-25T12:49:16.455291638Z [2026-09-25 12:49:16] Decode batch, #running-req: 1, #full token: 3072, full token usage: 0.02, mamba num: 4, mamba usage: 0.10, accept len: 2.42, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 23.09, #queue-req: 0
2026-09-25T12:49:23.794011073Z [2026-09-25 12:49:23] Decode batch, #running-req: 2, #full token: 4544, full token usage: 0.04, mamba num: 8, mamba usage: 0.20, accept len: 2.35, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 14.72, #queue-req: 0
2026-09-25T12:49:28.639723563Z [2026-09-25 12:49:28] Decode batch, #running-req: 2, #full token: 4736, full token usage: 0.04, mamba num: 8, mamba usage: 0.20, accept len: 2.26, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 37.36, #queue-req: 0
2026-09-25T12:49:33.682863404Z [2026-09-25 12:49:33] Decode batch, #running-req: 1, #full token: 3200, full token usage: 0.03, mamba num: 4, mamba usage: 0.10, accept len: 2.30, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 35.10, #queue-req: 0
2026-09-25T12:49:43.839189396Z [2026-09-25 12:49:43] Decode batch, #running-req: 4, #full token: 8064, full token usage: 0.06, mamba num: 16, mamba usage: 0.40, accept len: 2.63, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 35.25, #queue-req: 0
2026-09-25T12:49:50.870960731Z [2026-09-25 12:49:50] Decode batch, #running-req: 4, #full token: 8320, full token usage: 0.07, mamba num: 16, mamba usage: 0.40, accept len: 2.47, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 56.17, #queue-req: 0
2026-09-25T12:49:58.957195277Z [2026-09-25 12:49:58] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.19, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 20.53, #queue-req: 0
2026-09-25T12:50:03.220092419Z [2026-09-25 12:50:03] Decode batch, #running-req: 1, #full token: 512, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.73, accept rate: 0.91, cuda graph: True, gen throughput (token/s): 34.95, #queue-req: 0
2026-09-25T12:50:07.780955418Z [2026-09-25 12:50:07] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.48, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 30.48, #queue-req: 0
2026-09-25T12:50:11.908125194Z [2026-09-25 12:50:11] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.60, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 34.89, #queue-req: 0
2026-09-25T12:50:16.321491274Z [2026-09-25 12:50:16] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.70, accept rate: 0.90, cuda graph: True, gen throughput (token/s): 33.53, #queue-req: 0
2026-09-25T12:50:20.492692757Z [2026-09-25 12:50:20] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.52, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 33.81, #queue-req: 0
2026-09-25T12:50:24.644864909Z [2026-09-25 12:50:24] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.65, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 35.16, #queue-req: 0
2026-09-25T12:50:28.746795350Z [2026-09-25 12:50:28] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.88, accept rate: 0.96, cuda graph: True, gen throughput (token/s): 37.79, #queue-req: 0
2026-09-25T12:50:33.254453448Z [2026-09-25 12:50:33] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.50, accept rate: 0.83, cuda graph: True, gen throughput (token/s): 31.06, #queue-req: 0
2026-09-25T12:50:37.413682522Z [2026-09-25 12:50:37] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.73, accept rate: 0.91, cuda graph: True, gen throughput (token/s): 35.82, #queue-req: 0
2026-09-25T12:50:41.507653954Z [2026-09-25 12:50:41] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.62, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 35.42, #queue-req: 0
2026-09-25T12:50:45.972140586Z [2026-09-25 12:50:45] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.30, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 29.57, #queue-req: 0
2026-09-25T12:50:50.101130540Z [2026-09-25 12:50:50] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.55, accept rate: 0.85, cuda graph: True, gen throughput (token/s): 34.39, #queue-req: 0
2026-09-25T12:50:54.750861309Z [2026-09-25 12:50:54] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.10, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 26.67, #queue-req: 0
2026-09-25T12:50:59.217108423Z [2026-09-25 12:50:59] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 1.85, accept rate: 0.28, cuda graph: True, gen throughput (token/s): 16.57, #queue-req: 0
2026-09-25T12:51:03.349056400Z [2026-09-25 12:51:03] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.45, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 23.72, #queue-req: 0
2026-09-25T12:51:07.621980299Z [2026-09-25 12:51:07] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.20, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 20.59, #queue-req: 0
2026-09-25T12:51:11.774339010Z [2026-09-25 12:51:11] Decode batch, #running-req: 1, #full token: 576, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.05, accept rate: 0.35, cuda graph: True, gen throughput (token/s): 19.75, #queue-req: 0
2026-09-25T12:51:16.129779562Z [2026-09-25 12:51:16] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.55, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 23.42, #queue-req: 0
2026-09-25T12:51:19.938715005Z [2026-09-25 12:51:19] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.42, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 25.47, #queue-req: 0
2026-09-25T12:51:23.878331285Z [2026-09-25 12:51:23] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.12, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 21.58, #queue-req: 0
2026-09-25T12:51:27.790233699Z [2026-09-25 12:51:27] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.25, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 23.01, #queue-req: 0
2026-09-25T12:51:31.837135194Z [2026-09-25 12:51:31] Decode batch, #running-req: 1, #full token: 512, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 24.71, #queue-req: 0
2026-09-25T12:51:36.028281416Z [2026-09-25 12:51:36] Decode batch, #running-req: 1, #full token: 640, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.25, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 21.47, #queue-req: 0
2026-09-25T12:51:40.179253371Z [2026-09-25 12:51:40] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 26.02, #queue-req: 0
2026-09-25T12:51:44.011399281Z [2026-09-25 12:51:44] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 1.73, accept rate: 0.24, cuda graph: True, gen throughput (token/s): 18.01, #queue-req: 0
2026-09-25T12:51:47.906846242Z [2026-09-25 12:51:47] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.33, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 23.87, #queue-req: 0
2026-09-25T12:51:51.820371267Z [2026-09-25 12:51:51] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.40, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 24.53, #queue-req: 0
2026-09-25T12:51:55.819757663Z [2026-09-25 12:51:55] Decode batch, #running-req: 1, #full token: 576, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 2.35, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 23.50, #queue-req: 0
2026-09-25T12:52:13.495287792Z [2026-09-25 12:52:13] Decode batch, #running-req: 1, #full token: 30464, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 2.20, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 4.98, #queue-req: 0
2026-09-25T12:52:17.481398407Z [2026-09-25 12:52:17] Decode batch, #running-req: 1, #full token: 30592, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 2.73, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 27.35, #queue-req: 0
2026-09-25T12:52:21.706880920Z [2026-09-25 12:52:21] Decode batch, #running-req: 1, #full token: 30720, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 2.45, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 23.19, #queue-req: 0
2026-09-25T12:52:26.111686266Z [2026-09-25 12:52:26] Decode batch, #running-req: 1, #full token: 30528, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 2.35, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 21.34, #queue-req: 0
2026-09-25T12:52:30.119953333Z [2026-09-25 12:52:30] Decode batch, #running-req: 1, #full token: 30656, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 3.12, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 31.19, #queue-req: 0
